Feature;Type;Effect_Size;p_value;MI_Score;ANOVA Decision;MI Decision;Final Decision
Distance;Numerical;76.0202;0.0;0.2947;KEEP;KEEP;KEEP
Longitude_incident;Numerical;49.4419;0.0023;0.0611;KEEP;KEEP;KEEP
Longitude_station;Numerical;40.6414;0.0;0.0328;KEEP;KEEP;KEEP
NumStationsWithPumpsAttending;Numerical;25.7228;0.0;0.0323;KEEP;KEEP;KEEP
PumpCount;Numerical;21.8346;0.0;0.0231;KEEP;KEEP;KEEP
Notional_Cost_GBP;Numerical;15.0421;0.0;0.0165;KEEP;KEEP;KEEP
Latitude_incident;Numerical;7.7026;0.0;0.0545;KEEP;KEEP;KEEP
call_hour;Numerical;6.5686;0.0;0.0101;KEEP;KEEP;KEEP
DelayCodeId;Categorical;0.3868;0.0;0.3026;KEEP;KEEP;KEEP
PumpOrder;Categorical;0.1913;0.0;0.0832;KEEP;KEEP;KEEP
Latitude_station;Numerical;0.1786;0.0;0.0333;KEEP;KEEP;KEEP
PumpMinutes_D;Numerical;0.0851;0.8879;0.0253;KEEP;KEEP;KEEP
IncGeo_WardCode;Categorical;0.0210;0.0;0.1397;KEEP;KEEP;KEEP
Postcode_incident;Categorical;;;0.1897;KEEP;KEEP;KEEP
UPRN_D;Numerical;;;0.0499;KEEP;KEEP;KEEP
call_year;Numerical;5.3836;0.0;0.0010;KEEP;DROP;DROP
NumCalls;Numerical;4.4847;0.0;0.0028;KEEP;DROP;DROP
call_weekday;Numerical;1.1322;0.0;0.0001;KEEP;DROP;DROP
call_month;Numerical;1.1088;0.0;0.0;KEEP;DROP;DROP
LocationAccuracy;Numerical;0.1741;0.0607;0.0028;KEEP;DROP;DROP
call_day;Numerical;0.17;0.8548;0.0011;KEEP;DROP;DROP
PropertyType;Categorical;0.0069;0.0;0.0275;DROP;KEEP;DROP
DeployedFromStation_Code;Categorical;0.0027;0.0;0.0332;DROP;KEEP;DROP
Postcode_station;Categorical;0.0023;0.0;0.0333;DROP;KEEP;DROP
IncidentGroup_D;Categorical;0.0017;0.0;0.0119;DROP;KEEP;DROP
AddressQualifier;Categorical;0.0016;0.0;0.0045;DROP;KEEP;DROP
Resource_Code;Categorical;0.0013;0.0;0.0333;DROP;KEEP;DROP
IncidentStationGround;Categorical;0.0012;0.0;0.0383;DROP;KEEP;DROP
StopCodeDescription;Categorical;0.0008;0.0;0.0061;DROP;KEEP;DROP
PlusCode_Code;Categorical;0.0004;0.0;0.0013;DROP;DROP;DROP
IncGeo_BoroughCode;Categorical;0.0001;0.0442;0.0253;DROP;KEEP;DROP
PropertyCategory;Categorical;0.0001;0.0;0.0088;DROP;KEEP;DROP
DeployedFromLocation;Categorical;0.0;0.0040;0.0023;DROP;DROP;DROP
