Type;Model;R2 TEST;MAE TEST;RMSE TEST;RMSE TRAIN;RMSE TRAIN CV mean;RMSE TRAIN CV std;duration
All;CatBoost Default;0.7102;54.9610;81.1853;78.8292;82.5514;0.5890;00:14:49
All;Random Forest Default;0.6435;59.7402;90.0533;27.1393;72.8530;0.3940;00:22:39
All;XGBoost Default;0.6400;60.7642;90.4927;68.8900;73.3042;0.4656;00:00:15
All;LightGBM Default;0.6392;60.9766;90.5880;73.3096;74.3304;0.4329;00:00:12
All;Gradient Boosting Default;0.6231;62.4993;92.5936;79.0303;79.1160;0.4024;00:11:53
All;Linear Regression;0.6158;64.2536;93.4846;88.1640;88.3218;0.2687;00:00:17
All;Ridge Default;0.6158;64.2534;93.4849;88.1640;88.3217;0.2687;00:00:04
All;MLP Default;0.6044;62.5585;94.8589;77.3727;81.1536;1.5702;00:29:56
All;Lasso Default;0.5947;65.6697;96.0222;90.0970;90.1228;0.4720;00:03:04
All;Decision Tree Default;0.4039;78.2558;116.4441;0.2906;103.2528;0.7676;00:01:16
All;ElasticNet Default;0.3789;81.4354;118.8622;107.0112;107.0187;0.5798;00:03:07
Optimized;CatBoost Optimized;0.6996;55.6210;82.6576;71.4782;82.9858;0.5713;00:10:49
Optimized;Random Forest Optimized;0.6484;59.3931;89.4348;56.6729;74.9344;0.2309;00:08:05
Optimized;LightGBM Optimized;0.6372;60.7129;90.8454;74.1326;76.5738;0.1810;00:00:21
Optimized;MLP Optimized;0.6300;61.6724;91.7361;77.7606;80.4544;0.1743;00:50:35
Optimized;Ridge Optimized;0.6070;64.9974;94.5513;89.2711;89.4339;0.1284;00:00:00
Reduced;CatBoost Default;0.6974;56.3997;82.9656;80.4700;84.3404;0.6145;00:05:19
Reduced;Random Forest Default;0.6463;59.6150;89.6965;28.0250;75.6438;0.2278;00:03:53
Reduced;XGBoost Default;0.6451;60.5719;89.8482;71.3035;75.7330;0.2314;00:00:03
Reduced;MLP Default;0.6447;61.3540;89.8946;84.0969;85.3378;0.6184;00:04:54
Reduced;LightGBM Default;0.6387;61.1871;90.6507;75.4936;76.6343;0.2171;00:00:05
Reduced;Gradient Boosting Default;0.6219;62.7548;92.7337;80.3930;80.6104;0.2219;00:03:31
Reduced;Linear Regression;0.6070;65.0002;94.5433;89.2709;89.4341;0.1301;00:00:02
Reduced;Ridge Default;0.6070;65.0002;94.5435;89.2709;89.4340;0.1300;00:00:00
Reduced;Lasso Default;0.5942;65.7402;96.0818;90.2859;90.3343;0.1873;00:00:01
Reduced;Decision Tree Default;0.3964;78.2622;117.1742;0.6958;106.4019;0.1916;00:00:17
Reduced;ElasticNet Default;0.3767;81.5841;119.0739;107.2753;107.2823;0.2175;00:00:00
